,pandemic_infected,pandemic_recovered,pandemic_susceptible
271,0.00037999999999999997,0.44326750000000004,0.54637625
272,0.00036125,0.4434175,0.54631875
273,0.00035875,0.44358500000000006,0.54625625
274,0.00035125,0.44373625,0.54620125
275,0.000335,0.44388375,0.54614125
276,0.00031,0.44401999999999997,0.54609875
277,0.00028625,0.44414625,0.54605625
278,0.00028125,0.44428249999999997,0.54601
279,0.0002575,0.44441625,0.54597875
280,0.00026375,0.44453000000000004,0.5459275
281,0.00024375,0.4446325,0.54589375
282,0.0002275,0.44473875,0.54586875
283,0.00022999999999999998,0.44484250000000003,0.5458225
284,0.00022375,0.44492250000000005,0.54579375
285,0.000205,0.44503000000000004,0.54576375
286,0.00019875,0.44513625,0.54573625
287,0.00019125,0.44521875,0.545705
288,0.00017250000000000002,0.44529625,0.54568
289,0.00017125,0.4453675,0.54565375
290,0.00015375,0.44545625,0.54563125
291,0.00014,0.44553000000000004,0.54561375
292,0.000145,0.44560500000000003,0.5455875
293,0.000135,0.4456575,0.54557125
294,0.000145,0.44573625,0.5455375
295,0.00013000000000000002,0.44578249999999997,0.5455175
296,0.0001025,0.445845,0.5455075
297,0.0001075,0.4458875,0.5454899999999999
298,0.00011,0.44593999999999995,0.545465
299,0.00010625,0.44599875,0.54545125
300,0.00010625,0.44605,0.54543375
301,9.25e-05,0.44609375,0.54542875
302,8.125e-05,0.44614,0.54541875
303,7.875e-05,0.44616999999999996,0.54540875
304,7.25e-05,0.446205,0.5454
305,7.625e-05,0.44625,0.54538
306,8.125e-05,0.44629250000000004,0.545355
307,8.875e-05,0.44633375,0.5453399999999999
308,7.75e-05,0.44637375,0.545335
309,7.875e-05,0.44640375,0.54531875
310,7e-05,0.44644875,0.54530875
311,6.125e-05,0.4464625,0.54530375
312,5.7499999999999995e-05,0.4464875,0.5452975
313,5e-05,0.44651125,0.5452899999999999
314,4.7499999999999996e-05,0.44653375,0.5452825
315,4.375e-05,0.44655249999999996,0.54527375
316,4.375e-05,0.44657749999999996,0.54526875
317,5e-05,0.44658875,0.54525875
318,4.5e-05,0.44661125,0.54525
319,4e-05,0.446625,0.54524625
320,3.125e-05,0.44664750000000003,0.5452425
321,2.875e-05,0.44666000000000006,0.54523875
322,3.5e-05,0.446675,0.54522875
323,3.625e-05,0.44668875,0.5452199999999999
324,2.5e-05,0.44670625,0.5452199999999999
325,2.625e-05,0.44671625,0.54521625
326,2.25e-05,0.44672875,0.54521375
327,2e-05,0.44674625,0.54521125
328,2.125e-05,0.44675625,0.5452100000000001
329,2e-05,0.44676125,0.54520625
330,2.125e-05,0.4467725,0.54520125
331,1.875e-05,0.44677625,0.5451975
332,2.125e-05,0.44678500000000004,0.5451925
333,2.5e-05,0.44679250000000004,0.54518625
334,3.375e-05,0.446805,0.54517375
335,3.375e-05,0.44681375,0.5451699999999999
336,2.875e-05,0.44682,0.54516625
337,2.9999999999999997e-05,0.44683125,0.54516125
338,2.625e-05,0.44684125,0.5451600000000001
339,2.375e-05,0.44684875,0.5451575
340,2e-05,0.44685375,0.5451575
341,1.625e-05,0.44686750000000003,0.5451550000000001
342,1.75e-05,0.44686875,0.54515375
343,1.625e-05,0.44687125,0.5451524999999999
344,1.75e-05,0.44687875,0.54514875
345,1e-05,0.4468875,0.54514875
346,1.25e-05,0.44689375,0.54514625
347,1.125e-05,0.446895,0.545145
348,1.125e-05,0.44690125,0.54514125
349,1.25e-05,0.44690625,0.54513875
350,1.125e-05,0.4469125,0.5451375
351,1.125e-05,0.44691499999999995,0.54513625
352,1.125e-05,0.44692,0.545135
353,8.75e-06,0.4469275,0.54513375
354,1.125e-05,0.44693625,0.54513125
355,8.75e-06,0.4469425,0.54513125
356,6.25e-06,0.44695,0.54513125
357,5e-06,0.4469525,0.54513125
358,5e-06,0.44695375,0.54513125
359,6.25e-06,0.44695375,0.54513
360,7.499999999999999e-06,0.44695875,0.5451275
361,3.75e-06,0.4469625,0.5451275
362,2.5e-06,0.4469675,0.5451275
363,5e-06,0.44696875,0.545125
364,5e-06,0.44697125,0.54512375
365,7.499999999999999e-06,0.44697375,0.54512125
366,6.25e-06,0.44697749999999997,0.54512125
367,2.5e-06,0.4469825,0.54512125
368,2.5e-06,0.4469825,0.54512125
369,2.5e-06,0.44698375,0.54512125
370,2.5e-06,0.44698625,0.54512125
371,2.5e-06,0.44698875,0.5451199999999999
372,2.5e-06,0.44698999999999994,0.54511875
373,2.5e-06,0.44698999999999994,0.54511875
374,1.25e-06,0.44699375,0.54511875
375,0.00063375,2.5e-06,0.99936375
376,0.0008125,5.9999999999999995e-05,0.99904125
377,0.00135,0.00014,0.9983
378,0.0030800000000000003,0.00032,0.9961225
379,0.00818625,0.0007375,0.9899375
380,0.018742500000000002,0.00181375,0.9767425
381,0.03360125,0.00401625,0.9565725
382,0.049714999999999995,0.007555,0.932075
383,0.0634225,0.01260375,0.90684125
384,0.07469500000000001,0.01881625,0.88192
385,0.08354375,0.02659375,0.85732375
386,0.09025125,0.035277499999999996,0.83341625
387,0.09539125,0.04510875,0.80987625
388,0.099075,0.0555625,0.78745375
389,0.10025125,0.0671175,0.76632375
390,0.10053125,0.078885,0.74634125
391,0.0994725,0.0911675,0.72787875
392,0.09737125,0.10408125,0.7107399999999999
393,0.0943625,0.11722375,0.6947475000000001
394,0.09070875,0.13053,0.680045
395,0.0870275,0.1435375,0.66652
396,0.082535,0.156815,0.6539575
397,0.07822625,0.17004875,0.6423425
398,0.07392375,0.1830425,0.6316
399,0.06970499999999999,0.1957325,0.6217
400,0.06566375,0.20802875,0.61243
401,0.0616375,0.22024625,0.6039725
402,0.05774,0.23225500000000002,0.5959325
403,0.05412125,0.24376875,0.5884775
404,0.050755,0.255015,0.58159625
405,0.047389999999999995,0.26596875,0.57517625
406,0.044297500000000004,0.2764775,0.56920875
407,0.041335000000000004,0.28697875,0.5636
408,0.03873,0.29674625,0.55827625
409,0.03608125,0.3064325,0.553485
410,0.03388375,0.31579,0.54898
411,0.03163875,0.324655,0.544755
412,0.02948625,0.33318625,0.54093875
413,0.027645,0.34136500000000003,0.53725875
414,0.02587875,0.3492025,0.5338275
415,0.0241025,0.35663375,0.53067875
416,0.022535,0.3639275,0.52766625
417,0.0211225,0.37096,0.5248375
418,0.0198625,0.37772,0.522105
419,0.018615,0.38394875,0.5195975
420,0.0173725,0.390075,0.51726625
421,0.01638125,0.39586875,0.51506125
422,0.0152375,0.40151,0.5130825
423,0.01423875,0.40702,0.5111074999999999
424,0.013342500000000002,0.41213375,0.509305
425,0.01253125,0.41685625,0.50756875
426,0.01164125,0.42166125,0.50596875
427,0.01099375,0.42602375,0.50444875
428,0.0101975,0.43017625,0.50309125
