,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
922,22.0,41.0
923,20.0,53.0
924,19.0,55.0
925,21.0,58.0
926,21.0,54.0
927,16.0,49.0
928,14.0,46.0
929,18.0,54.0
930,27.0,65.0
931,19.0,58.0
932,15.0,43.0
933,28.0,54.0
934,26.0,50.0
935,22.0,59.0
936,23.0,46.0
937,32.0,46.0
938,27.0,48.0
939,22.0,44.0
940,19.0,58.0
941,22.0,67.0
942,24.0,46.0
943,26.0,44.0
944,26.0,56.0
945,28.0,48.0
946,21.0,42.0
947,20.0,44.0
948,19.0,45.0
949,17.0,51.0
950,32.0,52.0
951,19.0,47.0
952,16.0,47.0
953,15.0,47.0
954,24.0,50.0
955,18.0,57.0
956,19.0,62.0
957,13.0,45.0
958,13.0,47.0
959,27.0,41.0
960,32.0,45.0
961,18.0,69.0
962,21.0,45.0
963,22.0,51.0
964,25.0,51.0
965,24.0,63.0
966,17.0,53.0
967,15.0,61.0
968,18.0,67.0
969,28.0,57.0
970,19.0,62.0
971,19.0,56.0
972,17.0,62.0
973,14.0,55.0
974,29.0,52.0
975,17.0,45.0
976,16.0,48.0
977,22.0,54.0
978,22.0,41.0
979,21.0,43.0
980,30.0,47.0
981,23.0,46.0
982,23.0,52.0
983,18.0,51.0
984,17.0,50.0
985,34.0,51.0
986,26.0,51.0
987,23.0,43.0
988,25.0,65.0
989,20.0,53.0
990,23.0,56.0
991,23.0,60.0
992,18.0,51.0
993,28.0,53.0
994,31.0,46.0
995,20.0,42.0
996,21.0,54.0
997,19.0,51.0
998,27.0,61.0
999,37.0,54.0
