,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
288,2.0,12.0,22.0,17.0,4.0,5.0,13.0,6.0,17.0
289,5.0,13.0,18.0,12.0,6.0,16.0,5.0,9.0,20.0
290,4.0,5.0,15.0,23.0,4.0,6.0,5.0,12.0,25.0
291,3.0,6.0,11.0,25.0,8.0,11.0,7.0,8.0,19.0
292,1.0,12.0,16.0,8.0,14.0,8.0,7.0,5.0,18.0
293,3.0,14.0,19.0,22.0,6.0,9.0,11.0,9.0,15.0
294,1.0,8.0,21.0,18.0,3.0,9.0,6.0,11.0,27.0
295,8.0,8.0,13.0,12.0,4.0,12.0,8.0,7.0,33.0
296,3.0,17.0,18.0,22.0,6.0,10.0,3.0,13.0,24.0
297,2.0,19.0,11.0,11.0,9.0,6.0,5.0,14.0,20.0
298,2.0,15.0,9.0,10.0,5.0,13.0,5.0,14.0,25.0
299,4.0,13.0,19.0,16.0,5.0,10.0,8.0,11.0,21.0
300,0.0,10.0,8.0,21.0,5.0,11.0,5.0,8.0,14.0
301,5.0,13.0,14.0,24.0,1.0,8.0,7.0,10.0,20.0
302,0.0,16.0,12.0,24.0,6.0,9.0,10.0,13.0,18.0
303,11.0,15.0,12.0,23.0,13.0,16.0,11.0,11.0,25.0
304,4.0,15.0,21.0,27.0,12.0,12.0,9.0,10.0,30.0
305,4.0,6.0,14.0,20.0,7.0,8.0,3.0,8.0,19.0
306,3.0,19.0,20.0,17.0,9.0,6.0,12.0,7.0,21.0
307,5.0,15.0,21.0,26.0,7.0,9.0,2.0,10.0,37.0
308,10.0,15.0,26.0,22.0,6.0,16.0,8.0,8.0,24.0
309,4.0,11.0,13.0,21.0,6.0,8.0,3.0,5.0,26.0
310,6.0,8.0,14.0,18.0,6.0,9.0,5.0,6.0,18.0
311,7.0,13.0,26.0,14.0,8.0,11.0,6.0,8.0,23.0
312,8.0,10.0,17.0,22.0,10.0,12.0,7.0,10.0,26.0
313,1.0,21.0,14.0,20.0,7.0,8.0,10.0,8.0,16.0
314,3.0,13.0,22.0,15.0,9.0,6.0,6.0,13.0,28.0
315,7.0,14.0,23.0,18.0,5.0,11.0,4.0,10.0,17.0
316,2.0,12.0,23.0,17.0,8.0,4.0,7.0,5.0,23.0
317,2.0,9.0,8.0,30.0,10.0,17.0,7.0,10.0,23.0
318,2.0,11.0,16.0,17.0,2.0,9.0,7.0,10.0,24.0
