,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas
296,3705.0,4401.0,260.0,70.0,4473.0,3225.0
297,3705.0,4401.0,260.0,70.0,4473.0,3225.0
298,3644.0,4400.0,257.0,69.0,4514.0,3223.0
299,3632.0,4399.0,257.0,66.0,4529.0,3221.0
300,3632.0,4399.0,257.0,66.0,4529.0,3221.0
301,3608.0,4399.0,264.0,60.0,4499.0,3220.0
302,3591.0,4399.0,262.0,60.0,4495.0,3245.0
303,3565.0,4401.0,268.0,57.0,4534.0,3263.0
304,3573.0,4399.0,268.0,54.0,4559.0,3264.0
305,3573.0,4399.0,268.0,54.0,4559.0,3264.0
306,3686.0,4400.0,270.0,43.0,4539.0,3264.0
307,3663.0,4400.0,269.0,40.0,4545.0,3262.0
308,3663.0,4400.0,269.0,40.0,4545.0,3262.0
309,3663.0,4400.0,269.0,40.0,4545.0,3262.0
310,3663.0,4400.0,269.0,40.0,4545.0,3262.0
311,3663.0,4400.0,269.0,40.0,4545.0,3262.0
312,3657.0,4399.0,263.0,35.0,4506.0,3302.0
313,3657.0,4399.0,263.0,35.0,4506.0,3302.0
314,3615.0,4399.0,268.0,33.0,4548.0,3289.0
315,3615.0,4399.0,268.0,33.0,4548.0,3289.0
316,3399.0,4399.0,264.0,28.0,4562.0,3251.0
317,3399.0,4399.0,264.0,28.0,4562.0,3251.0
318,3412.0,4400.0,272.0,27.0,4529.0,3211.0
319,3415.0,4401.0,266.0,26.0,4535.0,3196.0
320,3413.0,4401.0,267.0,23.0,4537.0,3184.0
321,3423.0,4400.0,271.0,24.0,4536.0,3162.0
322,3431.0,4400.0,265.0,24.0,4528.0,3133.0
323,3429.0,4400.0,265.0,24.0,4544.0,3133.0
324,3427.0,4400.0,260.0,23.0,4560.0,3167.0
325,3416.0,4401.0,261.0,21.0,4553.0,3197.0
326,3416.0,4401.0,261.0,21.0,4553.0,3197.0
327,3307.0,4400.0,264.0,15.0,4530.0,3290.0
328,3314.0,4400.0,267.0,16.0,4493.0,3278.0
329,3314.0,4400.0,267.0,16.0,4493.0,3278.0
330,3338.0,4400.0,261.0,23.0,4478.0,3246.0
331,3300.0,4400.0,263.0,28.0,4503.0,3218.0
332,3312.0,4399.0,264.0,33.0,4509.0,3188.0
333,3312.0,4399.0,264.0,33.0,4509.0,3188.0
334,3301.0,4401.0,265.0,29.0,4535.0,3201.0
335,3301.0,4401.0,265.0,29.0,4535.0,3201.0
336,3297.0,4401.0,261.0,26.0,4553.0,3206.0
337,3303.0,4399.0,266.0,17.0,4530.0,3218.0
338,3313.0,4399.0,273.0,12.0,4514.0,3193.0
339,3328.0,4399.0,275.0,10.0,4483.0,3183.0
340,3332.0,4399.0,272.0,11.0,4416.0,3186.0
