,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
130,51.0,174.0,21.0,35.0,31.0,48.0,7.0,28.0,13.0,19.0
131,51.0,174.0,21.0,35.0,31.0,48.0,7.0,28.0,13.0,19.0
132,45.0,132.0,23.0,49.0,28.0,73.0,5.0,27.0,28.0,14.0
133,45.0,132.0,23.0,49.0,28.0,73.0,5.0,27.0,28.0,14.0
134,50.0,133.0,33.0,55.0,26.0,68.0,4.0,40.0,21.0,3.0
135,50.0,133.0,33.0,55.0,26.0,68.0,4.0,40.0,21.0,3.0
136,45.0,143.0,79.0,64.0,25.0,72.0,6.0,67.0,3.0,3.0
137,45.0,143.0,79.0,64.0,25.0,72.0,6.0,67.0,3.0,3.0
138,47.0,134.0,79.0,75.0,25.0,75.0,6.0,67.0,5.0,4.0
139,47.0,134.0,79.0,75.0,25.0,75.0,6.0,67.0,5.0,4.0
140,62.0,146.0,0.0,92.0,27.0,92.0,3.0,40.0,11.0,8.0
141,62.0,146.0,0.0,92.0,27.0,92.0,3.0,40.0,11.0,8.0
142,60.0,143.0,23.0,81.0,30.0,127.0,2.0,28.0,12.0,10.0
143,60.0,143.0,23.0,81.0,30.0,127.0,2.0,28.0,12.0,10.0
144,64.0,148.0,23.0,80.0,33.0,131.0,3.0,22.0,16.0,10.0
145,64.0,148.0,23.0,80.0,33.0,131.0,3.0,22.0,16.0,10.0
146,74.0,154.0,9.0,95.0,25.0,139.0,1.0,23.0,14.0,11.0
147,74.0,154.0,9.0,95.0,25.0,139.0,1.0,23.0,14.0,11.0
148,75.0,142.0,13.0,104.0,19.0,161.0,1.0,28.0,7.0,9.0
149,75.0,142.0,13.0,104.0,19.0,161.0,1.0,28.0,7.0,9.0
150,65.0,94.0,17.0,115.0,10.0,193.0,1.0,29.0,8.0,11.0
151,65.0,94.0,17.0,115.0,10.0,193.0,1.0,29.0,8.0,11.0
152,65.0,54.0,27.0,98.0,4.0,171.0,4.0,30.0,26.0,17.0
153,65.0,54.0,27.0,98.0,4.0,171.0,4.0,30.0,26.0,17.0
