,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
248,1736.0,4384.0,238.0,3474.0,1935.0,2.0,0.0
249,1721.0,4385.0,235.0,3480.0,2016.0,2.0,0.0
250,1685.0,4384.0,235.0,3491.0,2035.0,2.0,0.0
251,1720.0,4381.0,236.0,3523.0,2036.0,2.0,0.0
252,1826.0,4383.0,233.0,3562.0,2018.0,2.0,0.0
253,1988.0,4384.0,232.0,3715.0,2076.0,2.0,2.0
254,2097.0,4383.0,233.0,3787.0,2195.0,2.0,3.0
255,2161.0,4383.0,232.0,3802.0,2196.0,2.0,4.0
256,2224.0,4383.0,231.0,3785.0,2267.0,2.0,3.0
257,2206.0,4384.0,230.0,3838.0,2312.0,2.0,3.0
258,2223.0,4383.0,229.0,3867.0,2361.0,2.0,3.0
259,2293.0,4385.0,227.0,3911.0,2409.0,2.0,3.0
260,2346.0,4384.0,226.0,3915.0,2450.0,2.0,3.0
261,2335.0,4384.0,225.0,3908.0,2526.0,2.0,2.0
262,2321.0,4384.0,225.0,3916.0,2617.0,2.0,2.0
263,2325.0,4384.0,225.0,3942.0,2619.0,2.0,2.0
264,2306.0,4383.0,225.0,4101.0,2637.0,2.0,1.0
265,2424.0,4385.0,222.0,4167.0,2715.0,2.0,1.0
266,2571.0,4383.0,220.0,4224.0,2801.0,2.0,1.0
267,2719.0,4383.0,224.0,4231.0,2766.0,2.0,2.0
268,2818.0,4384.0,226.0,4241.0,2746.0,2.0,3.0
269,2788.0,4384.0,228.0,4255.0,2767.0,2.0,4.0
270,2821.0,4382.0,234.0,4275.0,2811.0,2.0,3.0
271,2822.0,4384.0,238.0,4292.0,2882.0,2.0,3.0
272,2821.0,4384.0,235.0,4300.0,2934.0,2.0,3.0
273,2861.0,4383.0,237.0,4277.0,2954.0,2.0,3.0
274,2860.0,4385.0,242.0,4297.0,2938.0,2.0,5.0
275,2831.0,4383.0,242.0,4358.0,2944.0,2.0,4.0
276,2818.0,4384.0,235.0,4377.0,2982.0,2.0,5.0
277,2768.0,4384.0,239.0,4399.0,3029.0,2.0,6.0
278,2688.0,4385.0,242.0,4395.0,3034.0,2.0,7.0
279,2691.0,4384.0,246.0,4418.0,3022.0,2.0,5.0
