,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes
476,133.0,45.0,298.0,65.0
477,150.0,51.0,318.0,58.0
478,135.0,55.0,323.0,63.0
479,148.0,55.0,349.0,58.0
480,156.0,40.0,347.0,58.0
481,160.0,49.0,301.0,58.0
482,155.0,42.0,296.0,56.0
483,175.0,48.0,320.0,64.0
484,155.0,52.0,324.0,46.0
485,172.0,55.0,330.0,55.0
486,144.0,43.0,311.0,55.0
487,151.0,26.0,325.0,59.0
488,154.0,58.0,311.0,65.0
489,159.0,51.0,297.0,57.0
490,152.0,47.0,284.0,51.0
491,160.0,52.0,306.0,54.0
492,155.0,33.0,324.0,50.0
493,160.0,44.0,315.0,55.0
494,162.0,43.0,306.0,72.0
495,175.0,35.0,283.0,62.0
496,142.0,44.0,296.0,57.0
497,169.0,53.0,297.0,56.0
498,144.0,41.0,289.0,52.0
499,157.0,45.0,295.0,60.0
500,166.0,56.0,316.0,53.0
501,148.0,49.0,277.0,50.0
502,151.0,47.0,307.0,46.0
503,154.0,48.0,280.0,56.0
504,147.0,40.0,337.0,44.0
505,174.0,62.0,310.0,59.0
506,157.0,45.0,273.0,54.0
507,164.0,49.0,285.0,58.0
508,167.0,46.0,302.0,60.0
509,153.0,54.0,299.0,58.0
510,165.0,50.0,282.0,56.0
511,145.0,47.0,282.0,63.0
512,146.0,48.0,301.0,64.0
513,168.0,46.0,255.0,57.0
514,172.0,48.0,278.0,47.0
515,152.0,52.0,302.0,50.0
516,146.0,62.0,291.0,51.0
517,146.0,53.0,287.0,66.0
518,167.0,47.0,327.0,58.0
519,131.0,41.0,294.0,51.0
520,177.0,45.0,296.0,57.0
521,144.0,52.0,289.0,45.0
522,175.0,55.0,279.0,50.0
523,156.0,43.0,272.0,52.0
524,144.0,45.0,296.0,50.0
525,170.0,46.0,283.0,47.0
526,143.0,39.0,279.0,49.0
527,154.0,46.0,313.0,52.0
528,147.0,45.0,314.0,43.0
529,142.0,46.0,295.0,49.0
530,159.0,35.0,287.0,61.0
531,156.0,50.0,301.0,53.0
532,160.0,45.0,274.0,61.0
533,138.0,42.0,272.0,60.0
534,140.0,52.0,309.0,50.0
535,172.0,50.0,349.0,48.0
