,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
627,13.0,12.0,12.0,13.0
628,14.0,11.0,12.0,14.0
629,13.0,12.0,12.0,13.0
630,12.0,12.0,12.0,12.0
631,12.0,12.0,11.0,12.0
632,12.0,12.0,11.0,12.0
633,13.0,12.0,12.0,12.0
634,12.0,11.0,12.0,12.0
635,12.0,11.0,12.0,12.0
636,12.0,11.0,12.0,12.0
637,15.0,12.0,13.0,14.0
638,16.0,11.0,13.0,14.0
639,17.0,11.0,15.0,13.0
640,16.0,11.0,14.0,13.0
641,15.0,11.0,14.0,12.0
642,15.0,11.0,14.0,12.0
643,14.0,12.0,13.0,12.0
644,15.0,12.0,13.0,14.0
645,13.0,12.0,12.0,12.0
646,14.0,11.0,12.0,14.0
647,13.0,11.0,12.0,13.0
648,13.0,11.0,11.0,13.0
649,12.0,12.0,12.0,12.0
650,13.0,11.0,11.0,12.0
651,13.0,11.0,11.0,12.0
652,12.0,11.0,11.0,12.0
653,13.0,11.0,11.0,13.0
654,13.0,11.0,11.0,13.0
655,14.0,11.0,12.0,14.0
656,14.0,11.0,11.0,14.0
657,14.0,11.0,11.0,14.0
658,12.0,11.0,11.0,12.0
659,13.0,11.0,11.0,13.0
660,12.0,11.0,12.0,12.0
661,13.0,11.0,11.0,12.0
662,12.0,11.0,11.0,12.0
663,13.0,11.0,11.0,13.0
664,13.0,11.0,11.0,13.0
665,12.0,11.0,11.0,12.0
666,12.0,11.0,12.0,12.0
667,14.0,11.0,12.0,13.0
668,14.0,11.0,11.0,13.0
669,14.0,11.0,11.0,14.0
670,15.0,11.0,11.0,14.0
671,14.0,12.0,11.0,14.0
672,14.0,11.0,11.0,13.0
673,13.0,11.0,11.0,12.0
674,12.0,30.0,30.0,12.0
675,12.0,11.0,11.0,12.0
676,12.0,11.0,11.0,13.0
677,12.0,11.0,11.0,12.0
678,12.0,11.0,11.0,12.0
679,12.0,11.0,11.0,12.0
680,12.0,11.0,11.0,12.0
681,12.0,11.0,11.0,12.0
682,12.0,11.0,11.0,12.0
683,12.0,11.0,11.0,12.0
684,12.0,11.0,11.0,12.0
685,12.0,11.0,11.0,12.0
686,13.0,11.0,11.0,13.0
687,13.0,11.0,11.0,13.0
688,13.0,11.0,11.0,13.0
689,12.0,11.0,11.0,12.0
690,13.0,11.0,11.0,12.0
691,12.0,11.0,11.0,12.0
692,12.0,11.0,11.0,11.0
693,12.0,11.0,11.0,12.0
694,12.0,11.0,11.0,12.0
695,12.0,11.0,11.0,11.0
696,12.0,11.0,11.0,11.0
697,12.0,11.0,11.0,12.0
698,13.0,11.0,11.0,12.0
699,12.0,11.0,11.0,12.0
700,13.0,11.0,11.0,13.0
701,13.0,11.0,11.0,13.0
702,13.0,11.0,12.0,13.0
703,14.0,11.0,12.0,14.0
704,13.0,11.0,11.0,13.0
705,14.0,11.0,12.0,14.0
