,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
127,1684.8173,1981.8607,422.7463,1255.6378,715.6848,2300.5056,1173.3125,5915.657,2514.3242,722.2069,20053.561100000003,1366.808
128,1675.3146,1993.1495,406.228,1259.7015,732.2392,2284.5723,1173.4868,5932.8145,2519.101,737.9348,20072.104499999998,1357.5623
129,1677.2458,1968.935,390.2387,1251.6493,721.6163,2229.08,1166.3253,5914.7104,2526.7966,731.1756,19944.016700000004,1366.2437
130,1672.965,1973.3887,418.0369,1234.3535,716.1357,2227.8103,1175.4181,5877.8726,2516.3062,728.0068,19895.5226,1355.2288
131,1670.9174,1985.8473,392.3627,1247.8934,717.369,2247.365,1166.01,5876.5264,2515.5393,718.5612,19888.677499999998,1350.2858
132,1653.7184,1976.369,398.5883,1234.1188,721.9813,2250.5674,1161.0138,5877.769,2497.8225,711.6559,19839.4102,1355.8058
133,1645.2872,1971.5691,374.4194,1266.9805,712.2544,2265.3584,1162.5939,5844.455,2494.8984,713.1993,19800.9033,1349.8877
134,1636.2612,1935.9761,398.7863,1246.0463,714.7572,2203.9792,1158.997,5852.6104,2500.6196,722.9164,19711.6867,1340.737
135,1639.4827,1948.3505,393.2493,1205.2266,709.703,2223.9556,1152.093,5819.335,2486.085,716.6768,19628.083300000002,1333.9258
136,1631.1974,1953.6367,410.5816,1204.5006,719.5417,2220.707,1144.6796,5813.1836,2485.6816,722.2063,19635.615800000003,1329.6997
137,1621.1415,1938.2737,379.7737,1232.8951,716.0534,2227.5605,1136.1858,5784.419,2460.296,715.6799,19537.2869,1325.0083
138,1622.0958,1977.3452,401.8097,1202.4132,711.4733,2217.657,1134.9387,5806.988,2455.6682,714.7723,19563.9674,1318.806
139,1620.4702,1956.1375,409.1003,1206.7571,711.2441,2220.713,1124.2708,5761.7036,2451.0835,718.3756,19502.4925,1322.6368
140,1608.5537,1935.5615,398.4766,1180.5206,714.438,2160.2458,1130.3684,5753.623,2448.1821,716.8877,19368.945,1322.0876
141,1611.477,1935.2869,404.8472,1193.8723,713.4766,2164.5813,1121.1854,5736.51,2430.234,707.4604,19328.4216,1309.4905
142,1602.2468,1912.489,368.902,1208.683,703.1809,2186.3738,1112.0278,5758.629,2424.1614,700.0203,19285.9916,1309.2776
143,1601.074,1924.4177,382.9598,1212.6631,708.6693,2150.271,1115.8055,5705.7344,2410.8628,694.5103,19205.895600000003,1298.9277
144,1594.1586,1939.5613,391.053,1193.0095,708.7431,2167.1323,1111.4484,5725.421,2415.7146,678.8264,19223.307,1298.2388
145,1586.514,1963.7281,396.8405,1178.3733,715.6267,2181.0134,1116.776,5720.125,2410.896,701.5395,19269.442900000002,1298.0104
