,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown
658,0.0,21.0,33.0
659,0.0,21.0,33.0
660,0.0,10.0,33.0
661,0.0,10.0,33.0
662,5.0,17.0,43.0
663,5.0,17.0,43.0
664,5.0,20.0,40.0
665,5.0,20.0,40.0
666,9.0,27.0,31.0
667,9.0,27.0,31.0
668,27.0,20.0,24.0
669,27.0,20.0,24.0
670,32.0,18.0,23.0
671,32.0,18.0,23.0
672,27.0,3.0,28.0
673,27.0,3.0,28.0
674,23.0,6.0,45.0
675,23.0,6.0,45.0
676,24.0,9.0,60.0
677,24.0,9.0,60.0
678,15.0,13.0,65.0
679,15.0,13.0,65.0
680,10.0,14.0,63.0
681,10.0,14.0,63.0
682,0.0,21.0,73.0
683,0.0,21.0,73.0
684,6.0,23.0,99.0
685,6.0,23.0,99.0
686,6.0,30.0,100.0
687,6.0,30.0,100.0
688,6.0,22.0,109.0
689,6.0,22.0,109.0
690,6.0,8.0,126.0
691,6.0,8.0,126.0
692,5.0,9.0,89.0
693,5.0,9.0,89.0
694,6.0,7.0,84.0
695,6.0,7.0,84.0
696,9.0,1.0,102.0
697,9.0,1.0,102.0
698,7.0,4.0,120.0
699,7.0,4.0,120.0
700,8.0,10.0,170.0
701,8.0,10.0,170.0
702,16.0,16.0,177.0
703,16.0,16.0,177.0
704,22.0,24.0,159.0
705,22.0,24.0,159.0
706,26.0,19.0,169.0
707,26.0,19.0,169.0
708,24.0,13.0,159.0
709,24.0,13.0,159.0
710,21.0,9.0,170.0
711,21.0,9.0,170.0
712,17.0,2.0,166.0
713,17.0,2.0,166.0
714,10.0,1.0,188.0
715,10.0,1.0,188.0
716,17.0,5.0,210.0
717,17.0,5.0,210.0
718,15.0,6.0,219.0
719,15.0,6.0,219.0
720,9.0,7.0,201.0
721,9.0,7.0,201.0
722,8.0,12.0,279.0
723,8.0,12.0,279.0
724,5.0,11.0,231.0
725,5.0,11.0,231.0
726,7.0,9.0,172.0
727,7.0,9.0,172.0
728,7.0,11.0,219.0
729,7.0,11.0,219.0
730,0.0,3.0,215.0
731,0.0,3.0,215.0
732,5.0,3.0,199.0
733,5.0,3.0,199.0
734,4.0,12.0,163.0
735,4.0,12.0,163.0
736,2.0,12.0,97.0
737,2.0,12.0,97.0
738,8.0,9.0,64.0
739,8.0,9.0,64.0
740,8.0,9.0,67.0
741,8.0,9.0,67.0
742,0.0,0.0,60.0
743,0.0,0.0,60.0
744,0.0,8.0,24.0
745,0.0,8.0,24.0
746,0.0,8.0,18.0
747,0.0,8.0,18.0
748,0.0,8.0,3.0
749,0.0,8.0,3.0
750,1.0,8.0,32.0
751,1.0,8.0,32.0
752,1.0,4.0,44.0
753,1.0,4.0,44.0
754,17.0,2.0,58.0
755,17.0,2.0,58.0
756,14.0,1.0,53.0
757,14.0,1.0,53.0
758,14.0,9.0,32.0
759,14.0,9.0,32.0
760,0.0,9.0,16.0
761,0.0,9.0,16.0
762,10.0,7.0,21.0
763,10.0,7.0,21.0
764,10.0,5.0,22.0
765,10.0,5.0,22.0
766,0.0,4.0,20.0
767,0.0,4.0,20.0
768,0.0,1.0,18.0
769,0.0,1.0,18.0
770,13.0,1.0,23.0
771,13.0,1.0,23.0
772,17.0,4.0,34.0
773,17.0,4.0,34.0
774,16.0,4.0,30.0
775,16.0,4.0,30.0
776,5.0,3.0,38.0
777,5.0,3.0,38.0
778,4.0,3.0,45.0
779,4.0,3.0,45.0
780,4.0,4.0,42.0
781,4.0,4.0,42.0
782,8.0,7.0,39.0
783,8.0,7.0,39.0
784,9.0,8.0,38.0
785,9.0,8.0,38.0
786,9.0,7.0,56.0
787,9.0,7.0,56.0
788,9.0,1.0,58.0
789,9.0,1.0,58.0
790,12.0,1.0,43.0
791,12.0,1.0,43.0
792,16.0,0.0,65.0
793,16.0,0.0,65.0
794,16.0,0.0,87.0
795,16.0,0.0,87.0
796,12.0,2.0,113.0
797,12.0,2.0,113.0
798,10.0,3.0,124.0
799,10.0,3.0,124.0
800,20.0,5.0,121.0
801,20.0,5.0,121.0
802,18.0,4.0,140.0
803,18.0,4.0,140.0
804,18.0,5.0,185.0
805,18.0,5.0,185.0
806,17.0,9.0,190.0
807,17.0,9.0,190.0
808,12.0,11.0,178.0
809,12.0,11.0,178.0
810,10.0,12.0,175.0
811,10.0,12.0,175.0
812,10.0,18.0,288.0
813,10.0,18.0,288.0
814,15.0,25.0,330.0
815,15.0,25.0,330.0
816,24.0,21.0,183.0
817,24.0,21.0,183.0
818,17.0,25.0,224.0
819,17.0,25.0,224.0
820,6.0,37.0,275.0
821,6.0,37.0,275.0
822,28.0,53.0,374.0
823,28.0,53.0,374.0
824,24.0,65.0,262.0
825,24.0,65.0,262.0
826,10.0,75.0,214.0
827,10.0,75.0,214.0
828,0.0,70.0,201.0
829,0.0,70.0,201.0
830,0.0,78.0,153.0
831,0.0,78.0,153.0
832,5.0,57.0,68.0
833,5.0,57.0,68.0
834,13.0,0.0,128.0
835,13.0,0.0,128.0
836,13.0,0.0,85.0
837,13.0,0.0,85.0
838,14.0,0.0,75.0
839,14.0,0.0,75.0
840,0.0,0.0,93.0
841,0.0,0.0,93.0
842,7.0,4.0,116.0
843,7.0,4.0,116.0
844,7.0,29.0,71.0
845,7.0,29.0,71.0
846,0.0,24.0,29.0
847,0.0,24.0,29.0
848,0.0,13.0,20.0
849,0.0,13.0,20.0
850,0.0,7.0,29.0
851,0.0,7.0,29.0
852,0.0,2.0,32.0
853,0.0,2.0,32.0
854,13.0,6.0,53.0
855,13.0,6.0,53.0
856,15.0,4.0,90.0
857,15.0,4.0,90.0
858,19.0,2.0,56.0
859,19.0,2.0,56.0
860,11.0,9.0,28.0
861,11.0,9.0,28.0
862,11.0,6.0,22.0
863,11.0,6.0,22.0
864,11.0,2.0,29.0
865,11.0,2.0,29.0
866,12.0,5.0,34.0
867,12.0,5.0,34.0
868,3.0,4.0,37.0
869,3.0,4.0,37.0
870,3.0,9.0,24.0
871,3.0,9.0,24.0
872,8.0,22.0,23.0
873,8.0,22.0,23.0
874,9.0,29.0,26.0
875,9.0,29.0,26.0
