,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
893,29.0,36.0
894,16.0,57.0
895,12.0,44.0
896,25.0,41.0
897,15.0,44.0
898,16.0,50.0
899,19.0,45.0
900,19.0,40.0
901,17.0,51.0
902,8.0,48.0
903,16.0,46.0
904,18.0,50.0
905,7.0,37.0
906,18.0,55.0
907,16.0,45.0
908,21.0,42.0
909,20.0,45.0
910,12.0,45.0
911,21.0,50.0
912,14.0,53.0
913,19.0,43.0
914,18.0,33.0
915,17.0,32.0
916,20.0,44.0
917,28.0,47.0
918,18.0,40.0
919,18.0,45.0
920,14.0,45.0
921,18.0,54.0
922,16.0,39.0
923,23.0,42.0
924,21.0,48.0
925,17.0,38.0
926,13.0,41.0
927,21.0,41.0
928,14.0,41.0
929,13.0,43.0
930,17.0,46.0
931,19.0,33.0
932,21.0,39.0
933,15.0,33.0
934,14.0,52.0
935,18.0,42.0
936,22.0,53.0
937,22.0,59.0
938,12.0,39.0
939,12.0,47.0
940,17.0,41.0
941,16.0,43.0
942,15.0,31.0
943,14.0,48.0
944,17.0,36.0
945,11.0,43.0
946,11.0,42.0
947,19.0,33.0
948,22.0,46.0
949,17.0,39.0
950,15.0,39.0
951,15.0,45.0
952,11.0,40.0
953,14.0,41.0
954,14.0,48.0
955,19.0,32.0
956,20.0,44.0
957,30.0,35.0
958,17.0,33.0
959,21.0,35.0
960,14.0,43.0
961,19.0,46.0
962,13.0,47.0
963,15.0,39.0
964,22.0,33.0
965,13.0,39.0
966,16.0,50.0
967,22.0,44.0
968,11.0,36.0
969,17.0,37.0
970,15.0,45.0
971,21.0,44.0
972,13.0,45.0
973,15.0,35.0
974,17.0,41.0
975,21.0,38.0
976,16.0,49.0
977,17.0,38.0
978,15.0,50.0
979,18.0,38.0
980,14.0,34.0
981,17.0,37.0
982,19.0,48.0
983,14.0,53.0
984,16.0,49.0
985,14.0,43.0
986,16.0,45.0
987,18.0,34.0
988,18.0,53.0
989,15.0,44.0
990,22.0,50.0
991,17.0,45.0
992,12.0,55.0
993,15.0,42.0
994,33.0,49.0
995,18.0,33.0
996,28.0,29.0
997,15.0,35.0
998,24.0,43.0
999,19.0,46.0
