,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
650,6.0,883.0,0.0
651,6.0,1235.0,0.0
652,6.0,1235.0,0.0
653,0.0,1246.0,0.0
654,0.0,1246.0,0.0
655,0.0,981.0,9.0
656,0.0,981.0,9.0
657,1.0,503.0,9.0
658,1.0,503.0,9.0
659,1.0,415.0,4.0
660,1.0,415.0,4.0
661,0.0,465.0,11.0
662,0.0,465.0,11.0
663,1.0,382.0,12.0
664,1.0,382.0,12.0
665,5.0,412.0,17.0
666,5.0,412.0,17.0
667,6.0,467.0,26.0
668,6.0,467.0,26.0
669,10.0,475.0,31.0
670,10.0,475.0,31.0
671,12.0,609.0,29.0
672,12.0,609.0,29.0
673,11.0,843.0,22.0
674,11.0,843.0,22.0
675,10.0,536.0,27.0
676,10.0,536.0,27.0
677,11.0,483.0,24.0
678,11.0,483.0,24.0
679,7.0,452.0,14.0
680,7.0,452.0,14.0
681,12.0,429.0,16.0
682,12.0,429.0,16.0
683,12.0,444.0,29.0
684,12.0,444.0,29.0
685,8.0,612.0,52.0
686,8.0,612.0,52.0
687,7.0,610.0,38.0
688,7.0,610.0,38.0
689,12.0,358.0,28.0
690,12.0,358.0,28.0
691,11.0,300.0,28.0
692,11.0,300.0,28.0
693,7.0,567.0,27.0
694,7.0,567.0,27.0
695,8.0,339.0,27.0
696,8.0,339.0,27.0
697,7.0,318.0,23.0
698,7.0,318.0,23.0
699,5.0,421.0,24.0
700,5.0,421.0,24.0
701,7.0,565.0,28.0
702,7.0,565.0,28.0
703,11.0,456.0,27.0
704,11.0,456.0,27.0
705,10.0,798.0,27.0
706,10.0,798.0,27.0
707,8.0,450.0,33.0
708,8.0,450.0,33.0
709,7.0,360.0,34.0
710,7.0,360.0,34.0
711,6.0,509.0,31.0
712,6.0,509.0,31.0
713,6.0,564.0,41.0
714,6.0,564.0,41.0
715,0.0,663.0,51.0
716,0.0,663.0,51.0
717,0.0,537.0,43.0
718,0.0,537.0,43.0
719,9.0,514.0,33.0
720,9.0,514.0,33.0
721,10.0,1046.0,55.0
722,10.0,1046.0,55.0
723,11.0,886.0,99.0
724,11.0,886.0,99.0
725,21.0,756.0,99.0
726,21.0,756.0,99.0
727,21.0,658.0,0.0
728,21.0,658.0,0.0
729,0.0,589.0,0.0
730,0.0,589.0,0.0
731,8.0,595.0,0.0
732,8.0,595.0,0.0
733,8.0,875.0,0.0
734,8.0,875.0,0.0
735,0.0,1302.0,0.0
736,0.0,1302.0,0.0
737,0.0,1705.0,0.0
738,0.0,1705.0,0.0
739,0.0,1292.0,4.0
740,0.0,1292.0,4.0
741,0.0,1733.0,14.0
742,0.0,1733.0,14.0
743,0.0,1756.0,14.0
744,0.0,1756.0,14.0
745,0.0,1766.0,6.0
746,0.0,1766.0,6.0
747,1.0,2630.0,26.0
748,1.0,2630.0,26.0
749,2.0,2651.0,23.0
750,2.0,2651.0,23.0
751,9.0,905.0,24.0
752,9.0,905.0,24.0
753,9.0,554.0,16.0
754,9.0,554.0,16.0
755,7.0,691.0,17.0
756,7.0,691.0,17.0
757,7.0,795.0,21.0
758,7.0,795.0,21.0
759,6.0,706.0,16.0
760,6.0,706.0,16.0
761,6.0,482.0,21.0
762,6.0,482.0,21.0
763,7.0,458.0,25.0
764,7.0,458.0,25.0
765,7.0,367.0,31.0
766,7.0,367.0,31.0
767,8.0,625.0,50.0
768,8.0,625.0,50.0
769,6.0,500.0,57.0
770,6.0,500.0,57.0
771,4.0,460.0,67.0
772,4.0,460.0,67.0
773,5.0,638.0,79.0
774,5.0,638.0,79.0
775,6.0,473.0,74.0
776,6.0,473.0,74.0
777,6.0,400.0,85.0
778,6.0,400.0,85.0
779,0.0,481.0,107.0
780,0.0,481.0,107.0
781,0.0,511.0,106.0
782,0.0,511.0,106.0
783,2.0,518.0,115.0
784,2.0,518.0,115.0
785,10.0,422.0,91.0
786,10.0,422.0,91.0
787,10.0,563.0,80.0
788,10.0,563.0,80.0
789,10.0,115.0,71.0
790,10.0,115.0,71.0
791,7.0,113.0,100.0
792,7.0,113.0,100.0
793,8.0,115.0,111.0
794,8.0,115.0,111.0
795,8.0,142.0,124.0
796,8.0,142.0,124.0
797,15.0,165.0,115.0
798,15.0,165.0,115.0
799,18.0,150.0,100.0
800,18.0,150.0,100.0
801,12.0,155.0,142.0
802,12.0,155.0,142.0
803,9.0,185.0,158.0
804,9.0,185.0,158.0
805,12.0,173.0,126.0
806,12.0,173.0,126.0
807,15.0,197.0,140.0
808,15.0,197.0,140.0
809,16.0,204.0,166.0
810,16.0,204.0,166.0
811,25.0,180.0,174.0
812,25.0,180.0,174.0
813,18.0,135.0,147.0
814,18.0,135.0,147.0
815,13.0,118.0,201.0
816,13.0,118.0,201.0
817,11.0,114.0,204.0
818,11.0,114.0,204.0
819,0.0,71.0,202.0
820,0.0,71.0,202.0
821,0.0,64.0,100.0
822,0.0,64.0,100.0
823,0.0,68.0,89.0
824,0.0,68.0,89.0
825,0.0,71.0,2.0
826,0.0,71.0,2.0
827,0.0,45.0,12.0
828,0.0,45.0,12.0
829,0.0,55.0,12.0
830,0.0,55.0,12.0
831,0.0,58.0,0.0
832,0.0,58.0,0.0
833,0.0,55.0,0.0
834,0.0,55.0,0.0
835,0.0,77.0,0.0
836,0.0,77.0,0.0
837,0.0,52.0,0.0
838,0.0,52.0,0.0
839,12.0,68.0,8.0
840,12.0,68.0,8.0
841,13.0,86.0,9.0
842,13.0,86.0,9.0
843,11.0,86.0,9.0
844,11.0,86.0,9.0
845,9.0,63.0,2.0
846,9.0,63.0,2.0
847,0.0,65.0,2.0
848,0.0,65.0,2.0
849,0.0,39.0,0.0
850,0.0,39.0,0.0
851,0.0,30.0,0.0
852,0.0,30.0,0.0
853,8.0,33.0,4.0
854,8.0,33.0,4.0
855,8.0,28.0,6.0
856,8.0,28.0,6.0
857,10.0,21.0,6.0
858,10.0,21.0,6.0
859,17.0,29.0,1.0
860,17.0,29.0,1.0
861,26.0,36.0,1.0
862,26.0,36.0,1.0
863,6.0,41.0,3.0
864,6.0,41.0,3.0
865,11.0,45.0,4.0
866,11.0,45.0,4.0
867,13.0,57.0,5.0
868,13.0,57.0,5.0
869,6.0,62.0,2.0
870,6.0,62.0,2.0
871,1.0,80.0,2.0
872,1.0,80.0,2.0
873,0.0,92.0,3.0
874,0.0,92.0,3.0
875,12.0,66.0,4.0
876,12.0,66.0,4.0
877,12.0,74.0,6.0
878,12.0,74.0,6.0
879,0.0,99.0,6.0
880,0.0,99.0,6.0
881,0.0,99.0,4.0
882,0.0,99.0,4.0
883,8.0,120.0,2.0
884,8.0,120.0,2.0
885,6.0,159.0,6.0
886,6.0,159.0,6.0
887,7.0,145.0,7.0
888,7.0,145.0,7.0
889,8.0,163.0,7.0
890,8.0,163.0,7.0
891,8.0,140.0,14.0
892,8.0,140.0,14.0
893,19.0,116.0,12.0
894,19.0,116.0,12.0
895,16.0,110.0,5.0
896,16.0,110.0,5.0
897,14.0,142.0,10.0
898,14.0,142.0,10.0
899,13.0,158.0,25.0
900,13.0,158.0,25.0
901,11.0,213.0,35.0
902,11.0,213.0,35.0
903,4.0,208.0,24.0
904,4.0,208.0,24.0
905,7.0,202.0,7.0
906,7.0,202.0,7.0
907,17.0,272.0,2.0
908,17.0,272.0,2.0
909,24.0,279.0,7.0
910,24.0,279.0,7.0
911,25.0,264.0,7.0
912,25.0,264.0,7.0
913,33.0,265.0,0.0
914,33.0,265.0,0.0
915,22.0,239.0,6.0
916,22.0,239.0,6.0
917,17.0,245.0,11.0
918,17.0,245.0,11.0
919,9.0,262.0,22.0
920,9.0,262.0,22.0
921,0.0,244.0,11.0
922,0.0,244.0,11.0
923,0.0,222.0,11.0
924,0.0,222.0,11.0
925,6.0,220.0,6.0
926,6.0,220.0,6.0
927,6.0,266.0,6.0
928,6.0,266.0,6.0
929,0.0,198.0,0.0
930,0.0,198.0,0.0
931,0.0,130.0,0.0
932,0.0,130.0,0.0
933,0.0,24.0,0.0
934,0.0,24.0,0.0
935,0.0,25.0,0.0
936,0.0,25.0,0.0
937,0.0,32.0,2.0
938,0.0,32.0,2.0
939,0.0,42.0,3.0
940,0.0,42.0,3.0
941,0.0,60.0,4.0
942,0.0,60.0,4.0
943,3.0,113.0,0.0
944,3.0,113.0,0.0
